publish_date,headline,main_text,media
2023-02-21,Microsoft enters 10-year agreement with Nvidia and Nintendo in fight to save Activision deal,"Microsoft announced it has agreed to partnerships with Nvidia and Nintendo as it tries to convince European Union officials to approve its $69 billion purchase of Activision Blizzard — the company behind the popular game franchise Call of Duty. Microsoft President Brad Smith had a closed-door meeting Tuesday with EU regulators and competitors in Brussels to address concerns that its acquisition of Activision Blizzard could hurt competition in the video game industry. The deal has also come under scrutiny from regulators in the United States and the United Kingdom. Microsoft         (MSFT) said that it has entered into a 10-year partnership with Nvidia to bring Xbox PC games to Nvidia’s cloud gaming service. In a statement, the software giant said the partnership “resolves Nvidia’s concerns with Activision Blizzard. Nvidia therefore is offering its full support for regulatory approval of the acquisition.” Microsoft also revealed it has finalized a 10-year agreement to bring the latest version of “Call of Duty” to the Nintendo platform once the merger with Activision is completed. Smith told CNN’s Richard Quest on Tuesday that “a lot changed today because Microsoft has announced two agreements that together will bring Call of Duty, the game that everyone has been talking about, to 150 million more people on Nintendo devices and Nvidia’s cloud streaming services.” He went on to say these two deals address the concern that Call of Duty will be less available than it is today and will be more available instead due to these two binding agreements. “We’re really down to one principal company that is objecting to this deal, and that’s Sony, and we’ve made clear that we’re happy to enter a 10-year agreement with Sony and we’re prepared to enter regulatory obligations as well, whether it’s London or Brussels or Washington,” Smith said. “So, in addition to a contract, we’d have a duty under the law.”",CNN
2024-02-14,"Nvidia is now worth more than Alphabet, one day after surpassing Amazon","Wall Street’s favorite artificial intelligence darling is continuing to swell to staggering heights. Nvidia’s market capitalization rose to $1.83 trillion on Wednesday, nudging past Alphabet’s $1.82 trillion market cap. Shares of the Santa Clara-based chipmaker rose 2.5% to $739 a share, while Alphabet shares ended the session at $145.94. Earlier this week, Nvidia surpassed Amazon, closing with a higher market cap on Tuesday for the first time since 2002. Nvidia shares have been on a tear since 2023, when investors swept up in AI hype bought up shares of Big Tech stocks, spurring a bull market against a backdrop of sky-high interest rates and leading the S&P 500 index to jump 24% last year. Nvidia has been the biggest beneficiary of the AI mania dominating Wall Street. The stock is up 49% this year after soaring 239% in 2023. Most of the Magnificent Seven, the group of tech stocks that have led the bull market, have continued to race even higher this year with Nvidia leading the pack. But some investors are skeptical that they can match their staggering gains from last year. “The valuation for this company is based on a very rapid growth rate. Anything that could potentially derail that growth rate would have a very negative impact on that valuation,” wrote Dave Sekera, chief US market strategist at Morningstar, in a note on Monday. “Investors should proceed with caution.” Nvidia CEO Jensen Huang recently said it is important to democratize AI technology, and that the AI titan should provide that capability. “There’s a sovereign AI movement that’s happening everywhere. Every country should protect their own data,” Huang told CNN at the World Government Summit in Dubai. “We need to enable every region to create their own digital intelligence.” CNN’s Gayle Harrington contributed to this story.",CNN
2022-03-01,Nvidia says hackers stole employee credentials and company data,"Chipmaker Nvidia         (NVDA) said Tuesday that the cybersecurity breach it has been investigating for almost a week has resulted in the theft of company data. “We are aware that the threat actor took employee credentials and some NVIDIA proprietary information from our systems and has begun leaking it online,” a company spokesperson told CNN in a statement. There is no indication that the attack was an instance of ransomware or that it is connected to the war in Ukraine, the spokesperson added. The company reiterated that it does not expect any disruptions to business operations stemming from the breach, which was first detected Feb. 23. At a market cap of about $600 billion, Nvidia is the most valuable chipmaker in the United States. It is known for its graphics processing units (GPU) that enhance videogaming experiences and advanced computer simulations.",CNN
2024-02-22,A good day for 401(k)s: S&P 500 and Dow hit new highs as Nvidia fervor takes hold of Wall Street,"US stocks soared to new highs on Thursday after Nvidia, the third largest company on Wall Street, blew past earnings expectations and bolstered investor optimism on Wall Street. The S&P 500 and Dow Jones Industrial Average both notched new record highs and the tech-heavy Nasdaq was within striking distance of its own all-time high, reached in November 2021. The Dow ended the day 457 points, or 1.2%, higher. The S&P 500 gained 2.1%, and the tech-heavy Nasdaq Composite was 3% higher. Both the S&P 500 and Nasdaq recorded their best days in over a year and the Dow surpassed the 39,000 level for the first time. Nvidia (NVDA) also reached a new record high, popping 16.4% after reporting extraordinary earnings growth, fueled by the artificial intelligence boom. The company gained $277 billion in value on Thursday alone, marking the largest-ever increase in a trading session. Nvidia, a chipmaker whose technology is used to power AI, mentioned the term 67 times before taking any questions during its earnings call Wednesday. Nvidia CEO Jensen Huang said in a statement on Wednesday evening that generative AI has now “hit the tipping point,” and that he expects more growth ahead. “Demand is surging worldwide across companies, industries and nations,” he said. The California-based firm has seen its take-home income grow 769% year-over-year and the company’s full-year profits are up more than 580% from the year earlier. Other chipmakers benefited from Nvidia’s good news. Shares of AMD (AMD) were 10.7% higher on Thursday morning and Microsoft (MSFT) was 2.4% higher. Tech stocks also enjoyed a boost. Meta and Amazon were up 3.9% and 3.6%, respectively, and shares of Apple were 1.1% higher. But some companies were left out of the fun: Intel, which laid out its plans to compete with Nvidia during a conference on Wednesday, fell by 1.1%. The Nvidia-led rally has put worries about the Federal Reserve keeping interest rates higher for longer on the backburner for now, but traders got some disappointing news on Wednesday. Fed officials continue to worry that inflation could remain stubbornly elevated during their policy meeting last month, minutes released yesterday afternoon showed. That could keep interest rates at 23-year high for longer than previously expected, affecting Americans’ borrowing costs on everything from car loans to mortgages. Traders now largely expect the Fed to begin cutting rates in June or July, rather than at its May policy meeting, according to the CME FedWatch Tool.",CNN
2023-10-18,Taiwan’s Foxconn to build ‘AI factories’ with Nvidia,"Taiwan’s Foxconn says it plans to build artificial intelligence (AI) data factories with technology from American chip giant Nvidia, as the electronics maker ramps up efforts to become a major global player in electric car manufacturing. Foxconn Chairman Young Liu and Nvidia CEO Jensen Huang jointly announced the plans on Wednesday in Taipei. The duo said the new facilities using Nvidia’s chips and software will enable Foxconn to better utilize AI in its electric vehicles (EV). “We are at the beginning of a new computing revolution,” Huang said. “This is the beginning of a brand new way of doing software — using computers to write software that no humans can.” Large computing systems powered by advanced chips will be able to develop software platforms for the next generation of EVs by learning from everyday interactions, they said. “Foxconn is turning from a manufacturing service company into a platform solution company,” Liu said. “In three short years, Foxconn has displayed a remarkable range of high-end sedan, passenger crossover, SUV, compact pick-up, commercial bus and commercial van.” Best known as the assembler of Apple’s iPhones, Foxconn envisages a similar business model for EVs. It doesn’t sell the vehicles under its own brand. Instead, it will build them for clients in Taiwan and globally. In 2021, Foxconn unveiled three EV models, including two passenger cars and a bus, for the first time. They were followed by additional models last year and two new ones — Model N, a cargo van, and Model B, a compact SUV — during Foxconn’s tech day on Wednesday. Its electric buses started running in the southern Taiwanese city of Kaohsiung last year, while its first electric car, sold under the N7 brand by Taiwanese automaker Luxgen, is expected to begin deliveries on the island from January 2024. Foxconn has entered a competitive industry. Global sales of EVs, including purely battery powered vehicles and hybrids, exceeded 10 million units last year, up 55% from 2021, according to the International Energy Agency. Nearly 14 million electric cars will be sold in 2023, it projected. Foxconn, which is officially known as the Hon Hai Technology Group, has been expanding its business by entering new industries such as EVs, digital health and robotics. Analysts say its entry into the EV space is a “logical diversification.” Smartphones are “a very saturated market already, and the room to grow in the … industry is getting [smaller],” said Kylie Huang, a Taipei-based analyst at Daiwa. “If they can really tap into the EV business, I do think that [they] could become influential in the next couple of years.” During last year’s tech day, Liu told reporters that the company hoped to build 5% of the world’s electric cars by 2025. It aims to eventually produce up to 40% to 45% of EVs around the world. But its foray into the industry hasn’t been entirely smooth. Last year, Foxconn bought a factory from Lordstown Motors in Ohio that used to make small cars for General Motors. That partnership ended in June, with the American car company filing for bankruptcy protection and announcing a lawsuit against Foxconn. Lordstown Motors accused Foxconn of “fraud” and failing to follow through on investment promises, while Foxconn dismissed the suit as “meritless” and criticized the company for making “false comments and malicious attacks.” Still, it’s clear Foxconn is leaning into its expanded ambitions, including hiring two new chief strategy officers for its EV and chips businesses. Chiang Shang-yi is a Taiwanese semiconductor industry veteran who helped TSMC become a global foundry powerhouse, while Jun Seki, a former vice chief operating officer at Nissan Motor, leads the EV unit. In May, Foxconn announced a new partnership with Infineon Technologies, a German company that specializes in automotive semiconductor chips, to establish a new research center in Taiwan. Bill Russo, founder of Shanghai-based consulting firm Automobility, said Foxconn has the advantage of coming from a consumer electronics background, which could allow it to come up with more innovative EV products compared with traditional automakers. “The biggest problem with legacy automakers is that they have so much sunk investment in a carryover platform, that they typically want to start not with a clean sheet of paper, but with a highly constrained set of requirements,” he said. “Those carryover technologies bring constraints to how you think about vehicles.” “When Tesla started, it started by saying, ‘I’m going to challenge all of that, I’m going to blow up the basic architecture of a car and simplify it greatly,’” he added. “I think that’s the advantage that a technology company has … And I think that’s the way Foxconn will come at this.” Hanna Ziady contributed to this report. Beyond iPhones. Major steps.",CNN
2020-04-20,Iowa beef plant reopens one day after coronavirus outbreak,"Iowa Premium National Beef Plant in Tama has resumed operations today, just one day after state health officials said at least 177 of its employees had tested positive for Covid-19 and the governor reported the plant as a ""new outbreak"" location at today's news conference. An employee who answered the phone at the plant Monday afternoon told CNN that ""we are back online as of today, we did a kill today."" The plant originally closed on April 10. CNN has reached out to National Beef for comment but has not heard back. The bigger picture: Several major meat processors across the US are starting to shut down plants as employees are getting infected by coronavirus. Consumers are unlikely to see any shortages because of production disturbances. But the closures are devastating for some meat producers, which have remained open during the pandemic. Food suppliers are essential businesses. The United States has a large enough meat inventory to prevent shortages for consumers, explained Christine McCracken, senior analyst of animal protein for Rabobank. Processors that were previously servicing restaurants or cafes have started to sell to retailers. And some restaurants are selling groceries, including meat, directly to customers.",CNN
2023-05-31,"Fueled by AI, Nvidia joins the $1 trillion club","Booming demand for its AI chips has landed Nvidia         (NVDA) a prime spot in one of the most exclusive clubs on Wall Street: The chipmaker hit a market cap of $1 trillion on Tuesday. It’s just the ninth company globally to have achieved such a feat, and only five other companies worldwide currently have the distinction: Apple         (AAPL), Microsoft         (MSFT), Alphabet         (GOOG), Amazon         (AMZN) and Saudi Aramco. Nvidia took Wall Street by surprise last week when it reported gangbusters earnings and an exceedingly strong revenue forecast for the year ahead. Fueled largely by the recent boom in AI, the report pushed share price higher and secured its position as the one of the largest publicly traded companies in the world. Nvidia makes chips that power generative AI, a type of artificial intelligence that can create new content, such as text and images, in response to user prompts. That’s the kind of AI underlying ChatGPT, Google’s Bard, Dall-E and many of the other new AI technologies. Last quarter, the company’s profit surged 26% to $2 billion, and sales rose 19% to $7.2 billion, each easily surpassing Wall Street analysts’ forecasts. Nvidia’s outlook for the current quarter was also significantly — about 50% — higher than analysts’ predictions. Its stock is up about 180% so far this year. “Nvidia gave jaw-dropping robust guidance that will be heard around the world and shows the historical demand for AI happening now in the enterprise and consumer landscape,” said Dan Ives, an analyst at Wedbush Securities. “For any investor calling this an AI bubble (crypto, metaverse, now AI bubble thesis) we would point them to this Nvidia quarter and especially guidance which cements our bullish thesis around AI and speaks to the 4th Industrial Revolution now on the doorstep with AI.” Nvidia shares need to remain above $404.86 to retain a trillion dollar market cap. Shares of the stock are currently trading at $408.50.",CNN
2022-02-08,The biggest chip deal in history has fallen apart,"SoftBank’s record-breaking sale of a prized chip designer to Nvidia has officially been called off. At an initial value of $40 billion, the US chipmaker’s acquisition of British design firm ARM would have been the largest semiconductor deal on record. But regulators around the world have long raised concerns about the deal, eventually leading to its collapse on Tuesday. In a statement, SoftBank cited “significant regulatory challenges” that prevented it from completing the deal. It said that it would instead prepare ARM for a public offering within the fiscal year ending March 2023. Under the terms of the agreement, SoftBank had already received a deposit of $1.25 billion during the signing. That payment was non-refundable, and “will be recognized as profit” in the Japanese conglomerate’s earnings for the quarter ending this March, it said. ARM designs chips used by Apple         (AAPL) and other major smartphone makers. The firm is based in Cambridge and is known as one of Britain’s most successful tech companies. The transaction was first announced in 2020, four years after SoftBank bought ARM for $32 billion, marking the largest foreign takeover by a Japanese firm at the time. It was originally expected to close within 18 months, which would have been around this time. But it ran out of steam as it became a subject of global regulatory scrutiny, including from China and the United Kingdom. Just days after the announcement, an opinion piece in Chinese state-run tabloid Global Times had dubbed the move “disturbing.” “If ARM falls into US hands, Chinese technology companies would certainly be placed at a big disadvantage in the market,” read the op-ed. In December, the US Federal Trade Commission sued to block the deal, saying it would stifle competition and give the combined company too much control over chip technology and designs. The European Commission also launched an investigation into the deal late last year. The deal would have had to pass regulatory approvals from the United Kingdom, the European Union, the United States and China. Had it gone through, it would have been the semiconductor industry’s biggest-ever deal, topping Avago’s acquisition of Broadcom in 2015, according to Dealogic. Speaking at an earnings presentation on Tuesday, SoftBank         (SFTBF) CEO Masayoshi Son remained optimistic about future plans for ARM. While he acknowledged that his company was now pivoting toward a “plan B,” he said that SoftBank had originally hoped to take ARM public after acquiring it years ago. “[So] this is [the] original plan again,” he said. Still, the billionaire hit out at those who had opposed the deal, arguing that critics had appeared “eager to block” a deal between “two totally different businesses.” In the history of antitrust complaints, “this could be the first case” involving claims about two such “different companies,” he said, likening Nvidia and ARM to the makers of car engines and tires. “Why do they have to block this transaction?” he asked. ARM also announced a new leader on Tuesday, saying that longtime CEO Simon Segars would be replaced by executive Rene Haas. In a statement, Son thanked Segars for his 30-year tenure at the company and said that “Rene is the right leader to accelerate ARM’s growth as the company starts making preparations to reenter the public markets.” — Rishi Iyengar contributed to this report.",CNN
2022-05-06,"Nvidia misled investors about impact of crypto mining on its business, SEC alleges","For years, video gamers have blamed shortages of PC graphics cards on cryptocurrency enthusiasts, who have snapped up growing numbers of the devices to generate digital coins. The pandemic, along with the Trump administration’s tariffs on Chinese imports, have only made the situation worse, leading to skyrocketing retail and aftermarket prices. Now, US securities regulators say the graphics card giant Nvidia knew cryptocurrency miners had been eating into sales of cards meant for gaming — and thus potentially contributing to supply issues — but had illegally withheld that fact from investors who repeatedly asked about crypto mining’s impact on Nvidia’s gaming segment. In a cease-and-desist order on Friday, the Securities and Exchange Commission said Nvidia would pay $5.5 million to settle the allegations of inadequate disclosure, adding in a release that the company’s “omissions of material information … were misleading.” Nvidia declined to comment for this story. The order marks yet another sign of the SEC’s emerging focus on virtual currencies; the agency separately announced this week it is hiring another 20 people to investigate and prosecute cryptocurrency fraud and cybercrime. It also validates concerns that PC gamers have been increasingly forced to compete with the cryptocurrency industry as generating coins such as Ethereum has grown more computationally demanding. The SEC’s allegations zero in on Nvidia’s quarterly reports in fiscal year 2018, when graphics cards began being used to mine virtual currencies. As the value of currencies such as Ethereum grew, “some of NVIDIA’s sales personnel expressed their belief that much of the increased demand of the company’s Gaming products, primarily in China, was being driven by cryptomining,” the SEC order said. Senior executives at the company sought to capitalize on that demand with a specialized line of cards just for cryptomining, the SEC wrote, but Nvidia salespeople and the company’s internal estimates suggested cryptomining was still accounting for “a significant factor in the year-over-year growth in Gaming revenue.” In the company’s quarterly reports, Nvidia reported revenue increases of 52% and 25% for the second and third quarters of 2018, respectively, compared to those same quarters the year prior, according to the SEC. “NVIDIA’s analysts and investors were interested in understanding the extent to which the company’s Gaming revenue was impacted by crypto mining and routinely asked senior management about the extent to which increases in gaming revenue during this time frame were driven by crypto mining,” the SEC wrote. But because Nvidia failed to mention the role of cryptomining in those figures — while properly citing cryptomining in other areas of its report — it gave the misleading impression that Nvidia’s gaming growth was sustainable or organic, not due to demand for a volatile digital currency, the SEC said. “NVIDIA’s disclosure failures deprived investors of critical information to evaluate the company’s business in a key market,” Kristina Littman, who leads the SEC’s Crypto Assets and Cyber Unit, said in a statement. “All issuers, including those that pursue opportunities involving emerging technology, must ensure that their disclosures are timely, complete, and accurate.”",CNN
2020-03-16,Microsoft reveals details about its next-generation console Xbox Series X,"Microsoft revealed the technical specifications of its next generation video game console, the Xbox Series X, in a Monday blog post. Although pricing is still unknown, Microsoft said the Series X is coming this holiday season and has several new features that would give it a leg up over older consoles. The Series X will be capable of running 4K graphics at 60 to 120 frames per second, meaning that game graphics should display clear details and games will appear smooth even during action-packed scenes. The new console is also getting an upgraded graphics card and processor so it could run more graphic-intense games. Notably, high-end PCs are capable of running graphic-intense games at as much as 200+ frames per second, so this upgrade for Xbox brings its technical specs closer to what’s already available on the market for PC gamers. Consoles have lagged behind PCs when it comes to providing higher resolution in gaming, but are often more affordable and easier to set up than computers. Like its predecessor, the Xbox One X, the new console has one terabyte of storage, but it has been upgraded for faster load times. “Modern devices have changed our expectations on how quickly you can move between experiences or applications,” Xbox’s senior communications manager Will Tuttle wrote in a blog post. “Most of us want to be able to instantly jump into an experience or return right to where we left off.” With the upgrade, Xbox is claiming it will be possible to play a game to a certain point, turn off the console and perform a system update, and still get back to where you left off. Games with immersive open worlds like “Red Dead Redemption 2,” “Final Fantasy XV” and “Assassin’s Creed Odyssey” could benefit from the faster load times, Xbox said. Tuttle wrote that Xbox has been working with TV manufacturers for the past two years to make sure displays are ready to support the Xbox Series X. Microsoft is also touting the new console’s ability to support older games. “As gamers themselves, [the team] understood that we all have our favorite memories, franchises or titles that we want to continue to play even as technology and game design continues to advance,” Xbox wrote. Since the Xbox Series X has upgraded storage and overall specs compared to the Xbox One X, it’s easier to support past games. “They gave us the Xbox One X and it was like we got this big playground to play with,” said Peggy Lo, principal program management lead of backward compatibility, in the blog post. “Then we got the Xbox Series X and it was like we had a whole amusement park to play in.”",CNN
